임무(Quests),종류,목표,보상,선행 퀘스트
"Easy Money - Part 2 [PVP ZONE]",종합,"레이드에서 발견한 음료 카테고리 아이템 건네기; 레이드에서 발견한 식품 카테고리 아이템 건네기","GP 코인 x52; 레프 평판 +0.03",아니요
"Provide Viewership",설치,"세관(Customs) 산업 공장 내부에 WI-FI 카메라 설치 x4; 세관 산업 공장 내부에서 아무 대상 제거 x15","GP 코인 x45; Lone Star TX-15 DML 5.56x45 카빈 기본 x1; 30발 5.56x45 HK 30 STANAG 폴리머 탄창 x3; 5.56x45mm M855A1 ammo pack (50 pcs) x3; 레프 평판 +0.02",아니요
"Balancing - Part 1 [PVP ZONE]",사살,"어느 장소에서든 Steyr AUG 사용해 스캐브 처치 x5","GP 코인 x45; Steyr AUG A1 5.56x45 assault rifle 기본 x1; 5.56x45mm M856 ammo pack (50 pcs) x3; Steyr AUG 5.56x45 30-round magazine x3; Death Shadow lightweight armored mask x1; 레프 평판 +0.03",아니요
"Balancing - Part 2 [PVP ZONE]",사살,"어느 장소에서든 PACA 소프트 아머 착용하고 PMC 처치 x2","GP 코인 x45; Death Shadow lightweight armored mask x2; 레프 평판 +0.03",아니요
"Surprise [PVP ZONE]",전달,"레이드에서 발견한 Class 4 이상 방탄 플레이트 전달","GP 코인 x55; Maska-1SCh 방탄 헬멧 (킬라 에디션) 기본 x1; 레프 평판 +0.04",아니요
"Create a Distraction - Part 1 [PVP ZONE]",설치,"Ground Zero의 카페 2층에 TP-200 TNT 설치","GP 코인 x28; Desert Tech MDR 5.56x45 돌격소총 ONE x1; 20발 5.56x45 Magpul PMAG 20 GEN M3 STANAG 탄창 x3; 5.56x45mm M856 ammo pack (100 pcs) x1; 레프 평판 +0.05",아니요
"Create a Distraction - Part 2 [PVP ZONE]",사살,"타르코프 시내(Streets of Tarkov)에서 카반 또는 콜론타이의 경호원 처치 x2","Degtyarev RPDN 7.62x39 machine gun 기본 x1; RPD 7.62x39 Buben 100-round box x1; 7.62x39mm FMJ ammo pack (20 pcs) x10; Lega Medal x1; 레프 평판 +0.07",아니요
"To Great Heights! - Part 1 [PVP ZONE]",승리,"아레나의 CheckPoint 또는 LastHero 모드에서 경기에 승리","GP 코인 x75; Lega Medal x1; Remington Model 700 7.62x51 볼트액션 저격소총 Vudu 1-6x24 x1; 5발 M700 7.62x51 Magpul PMAG AC 탄창 x2; 7.62x51mm TCW SP ammo pack (20 pcs) x2; 레프 평판 +0.03",아니요
"To Great Heights! - Part 2 [PVP ZONE]",승리,"아레나의 TeamFight, BlastGang, 또는 CheckPoint 모드에서 경기에 승리","GP 코인 x52; 7.62x39mm PS gzh 탄약 팩 (20발) x3; CMMG Mk47 Mutant 7.62x39 돌격소총 기본 x1; 30발 AK 7.62x39 US Palm ""AK30"" 탄창 (검은색) x3; 레프 평판 +0.03",아니요
"To Great Heights! - Part 3 [PVP ZONE]",순위,"아레나의 TeamFight, BlastGang, 또는 CheckPoint 모드에서 3위 이상으로 승리","GP 코인 x38; LOBAEV Arms DVL-10 Saboteur 7.62x51 볼트액션 저격소총 Saboteur x1; 10발 DVL-10 7.62x51 탄창 x2; 7.62x51mm TCW SP ammo pack (20 pcs) x2; 레프 평판 +0.04",아니요
"To Great Heights! - Part 4 [PVP ZONE]",연승/조건,"EFT 잔액에서 루블을 건네기; 아레나 TeamFight/BlastGang/CheckPoint 모드 6매치 중 3승 (4패 시 실패)","GP 코인 x40; 루블 x1000002; Armband (ARENA) x1; HK MP7A1 4.6x30 기관단총 기본 x1; 30발 HK MP7 4.6x30 탄창 x3; 4.6x30mm JSP SX ammo pack (40 pcs) x3; 레프 평판 +0.09",아니요
"To Great Heights! - Part 5 [PVP ZONE]",연승,"아레나의 TeamFight, BlastGang, 또는 CheckPoint 모드에서 2연속 승리","GP 코인 x40; 레프 APOK Tactical Wasteland Gladius 구매 잠금 해제; 레프 평판 +0.05",아니요
"Against the Conscience - Part 1 [PVP ZONE]",탐색,"세관의 옛 챔피언 방을 찾아 사건 파악 후 생존 탈출; 해안선 밀수업자 기지에서 열쇠 획득","루블 x50000; CQC Osprey MK4A 플레이트 캐리어 (Assault, MTP) 기본 x1; HK 416A5 5.56x45 돌격소총 기본 x1; 30발 5.56x45 HK Steel Maritime STANAG 탄창 x3; 5.56x45mm MK 318 Mod 0 (SOST) ammo pack (50 pcs) x3",아니요
"Against the Conscience - Part 2 [PVP ZONE]",사살,"아레나의 모든 게임 모드에서 적 제거 x100","GP 코인 x88; SIG MCX-SPEAR 6.8x51 assault rifle 기본 x1; AR-10 7.62x51 Lancer L7AWM 20-round magazine x3; 6.8x51mm SIG FMJ x41; 레프 평판 +0.06",아니요
"Decisions, Decisions [PVP ZONE]",전달,"레프의 불리한 정보를 찾아 획득하여 건네기","GP 코인 x72; Secure container Theta x1; 레프 평판 +0.15; 펜스 평판 -0.15",아니요
"Postponed Reward [PVP ZONE]",전달,"Lega 메달을 레프에게 전달","Secure container Theta x1; 레프 평판 +0.01",아니요

