임무(Quests),종류,목표,보상,선행 퀘스트
"Shipping Delay - Part 2",정찰,"삼림 보급 기지의 창고 정찰; 삼림 보급 기지의 사무실 정찰; 삼림 보급 기지의 차고 정찰; 'A Helping Hand' 완료","+84,000 루블; RSP-30 reactive signal cartridge (Blue) x1; Tetriz 테트리즈 휴대용 게임기 x1; BTR 운전병 평판 +0.01",아니요
"Hot Wheels",마킹,"예비 BTR 바퀴를 찾아 MS2000 마커로 표시","+116,000 루블; Military power filter x1; BTR 운전병 평판 +0.03",아니요
"Hot Wheels - Let's Try Again",마킹,"Reserve에서 예비 BTR 바퀴를 찾아 MS2000 마커로 표시","+84,000 루블; NIXXOR 닉콘 렌즈 x3; BTR 운전병 평판 +0.02",아니요
"Swift Retribution",사살,"Woods에서 스캐브 처치 x10","+85,000 루블; Old house room key x1; BTR 운전병 평판 +0.03",아니요
"Inevitable Response",이동/사살,"Woods에서 스캐브 처치 x5; Woods→Reserve 수송 수단 이용; Reserve에서 스캐브 처치 x5","+82,000 루블; BTR 운전병 평판 +0.02",아니요
"Building Foundations",거래,"Ragman/Prapor/Peacekeeper에게 아무 아이템 판매","+126,000 루블; Moonshine ""맹렬한 도끼런"" x1; BTR 운전병 평판 +0.01",아니요
"Natural Exchange",은닉,"Shoreline 밀수업자 기지에 금속 연료통 2개 은닉","+96,000 루블; GPU 그래픽 카드 x1; BTR 운전병 평판 +0.03",아니요
"Ask for Directions",마킹,"Lighthouse 절벽 길 1~4 구간 MS2000 마커로 표시","+85,000 루블; GreenBat 리튬 배터리 x2; BTR 운전병 평판 +0.02",아니요
"Battery Change",전달,"레이드에서 Tank battery 6-STEN-140-M 전달","+284,000 루블; Body armor repair kit x1; BTR 운전병 평판 +0.03",아니요
"Battery Change",전달,"레이드에서 Tank battery 6-STEN-140-M 전달","+284,000 루블; Body armor repair kit x1; BTR 운전병 평판 +0.03",아니요
"Protect the Sky",수색/전달,"Woods 지정 위치에서 패키지 수색; 패키지 전달","+96,000 루블; .300 BLK CBJ (50발) x4; 메카닉 Velociraptor .300 BLK 기본 구매 잠금 해제; BTR 운전병 평판 +0.02",아니요
"Discombobulate",은닉,"Woods RPG 탄약 상자 3곳에 VOG-25 Khattabka 수류탄 은닉","+175,000 루블; Military 군용 플래시 드라이브 x3; BTR 운전병 평판 +0.03",아니요
"The Price of Independence",복합,"Customs 편지 확보; Customs→Reserve 수송 수단 이용; Reserve 군 사령부 3층 편지 은닉; Reserve→Woods 수송 수단; Woods에서 임의 대상 처치 x3; Woods→Lighthouse 수송 수단; Lighthouse 기차역 창고/부두에서 노란 신호탄 발사; 진행 중 스캐브 처치 x10; Lighthouse 생존 탈출","+300,000 루블; 메카닉 RSP-30(Blue) 구매 잠금 해제; 메카닉 GPU 구매 잠금 해제; BTR 운전병 평판 +0.5",아니요
"The Price of Independence",복합,"Customs 편지 확보; Customs→Reserve 수송 수단 이용; Reserve 군 사령부 3층 편지 은닉; Reserve→Woods 수송 수단; Woods 임의 대상 처치 x3; Woods→Lighthouse 수송 수단; Lighthouse 기차역 창고/부두에서 노란 신호탄 발사; 다른 목표 수행 중 스캐브 처치 x10; Lighthouse 생존 탈출","+300,000 루블; 메카닉 RSP-30(Blue) 구매 잠금 해제; 메카닉 GPU 구매 잠금 해제; BTR 운전병 평판 +0.5",아니요
"Sensory Analysis - Part 2",전달,"Moonshine ""맹렬한 도끼런"" 밀주 전달","+32,000 루블; BTR 운전병 평판 +0.01",아니요

